Authors,Title,Year,Link,Abstract,Author Keywords
"Li Z., Lei Y., Guo K., Guo Z.","Generating reconfigurable acoustic orbital angular momentum with double-layer acoustic metasurface",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148690292&doi=10.1063%2f5.0134847&partnerID=40&md5=71d2596fc6a4796373ef856e275eac90","In this paper, a double-layer acoustic metasurface (DAM) composed of a fixed lower acoustic metasurface (LAM) and a rotatable upper acoustic metasurface (UAM) is proposed for the generation of mode-reconfigurable acoustic orbital angular momentum (OAM). The UAM and LAM are divided into multiple sections, in which the hybrid structures combining cascaded Helmholtz resonators and a straight pipe are adopted to achieve specific phase compensation. By rotating the UAM, the incident acoustic plane wave can be efficiently converted into the vortex acoustic waves of reconfigurable topological charges ranging from -5 to +5 with distinguishable purity. Furthermore, the influences of the parameters on the purity of the generated topological charges have been investigated and discussed, such as the distance between LAM and UAM, rotatable angle error, and operating frequency. With the capability of reconfigurable OAM modes, the proposed DAM can be used to efficiently increase capacity or to conveniently switch between different channels in underwater vortex acoustic communications. © 2023 Author(s).",
"Liberacki A., Trincone B., Duca G., Aldieri L., Vinci C.P., Carlucci F.","The Environmental Life Cycle Costs (ELCC) of Urban Air Mobility (UAM) as an input for sustainable urban mobility",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146421152&doi=10.1016%2fj.jclepro.2023.136009&partnerID=40&md5=3755229c4fa4e0fdae3f5a7969d6ce19","The growth of shared mobility has recently challenged the way mobility has traditionally been conceived. In this perspective, this study investigates the Environmental Life Cycle Costs of Urban Air Mobility (UAM) services to evaluate their potential integration with other transport systems, in the three-time horizons (2025, 2030, 2035). The key area of research was focused on the determination of the cost components of UAM required to calculate the unit costs of UAM transportation. To this end, unitary data and the method from a 2017 EC DG MOVE's report on urban accessibility have been adopted. The analysis confirms that most of the cost is related to the aircraft energy consumption during flight, while the rest is used by ground infrastructure. Moreover, the energy cost is strongly correlated with the distance travelled and the size of the aircraft. The longer the flight and the bigger the aircraft, the higher is the energy cost. Complex cost analysis should be able to support decision-makers in the definition of Sustainable Urban Mobility and their principles of integration, participation, monitoring and evaluation. However, it will be necessary to be able to draw on more consolidated and widespread data over time for the creation of Urban plans for Sustainable Mobility. © 2023 Elsevier Ltd","Environmental life cycle costs; Sustainable urban mobility; Urban air mobility; Urban freight transport"
"An J., Son K., Jung K., Kim S., Lee Y., Song S., Joo J.","Enhancement of Marine Lantern’s Visibility under High Haze Using AI Camera and Sensor-Based Control System",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149032906&doi=10.3390%2fmi14020342&partnerID=40&md5=d2cf81c891109279a8b7606568dd242b","This thesis describes research to prevent maritime safety accidents by notifying navigational signs when sea fog and haze occur in the marine environment. Artificial intelligence, a camera sensor, an embedded board, and an LED marine lantern were used to conduct the research. A deep learning-based dehaze model was learned by collecting real marine environment and open haze image data sets. By applying this learned model to the original hazy images, we obtained clear dehaze images. Comparing those two images, the concentration level of sea fog was derived into the PSNR and SSIM values. The brightness of the marine lantern was controlled through serial communication with the derived PSNR and SSIM values in a realized sea fog environment. As a result, it was possible to autonomously control the brightness of the marine lantern according to the concentration of sea fog, unlike the current marine lanterns, which adjust their brightness manually. This novel-developed lantern can efficiently utilize power consumption while enhancing its visibility. This method can be used for other fog concentration estimation systems at the embedded board level, so that applicable for local weather expectations, UAM navigation, and autonomous driving for marine ships. © 2023 by the authors.","artificial intelligence; computer vision; deep learning; dehaze; embedded system; LED marine lantern; sea fog; serial communication"
"Melo S., Silva F., Abbasi M., Ahani P., Macedo J.","Public Acceptance of the Use of Drones in City Logistics: A Citizen-Centric Perspective",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148011077&doi=10.3390%2fsu15032621&partnerID=40&md5=e9ee0f3dd8e5e3c34be289b085309631","The specific use of drones for city logistics has been increasingly studied and analysed by research and industry. An examination of the findings in the literature indicates that drones have proven to be a useful and added-value tool in the most diverse fields. However, the importance of the citizen’s perspective has still not been sufficiently incorporated into the deployment of urban air mobility systems. This paper seeks to contribute to a better understanding of the interaction between public knowledge and the awareness of, and engagement with, drones, alongside the concerns and support for their use in city logistics. A survey was carried out in Portugal of the citizens with a view to better understanding their attitude towards such a goal. The survey revealed a positive attitude towards the use of drones in city logistics and that socio-demographic characteristics, namely gender, education level, job occupation, age, and home location are not directly correlated with citizens’ attitudes. Moreover, citizens revealed that they favour a potential environmental benefit over a reduction in delivery time, which they would be willing to pay for. The policy implications derived can help develop the knowledge of public perception about drone usage for transport-related tasks. © 2023 by the authors.","advanced air mobility (AAM); city logistics; door-to-door transport; public acceptance; urban air mobility (UAM)"
"Di Vito V., Montaquila R.V., Cerasuolo G., Dziugieł B., Maczka M., Mazur A., Meincke P.A., Naser F., Mujica Mota M., Bagamanova M., Makhloufi A.E., Duca G., Russo R., Brucculeri L., Proietti S.","X-TEAM D2D Project: Designing and Validating a Concept of Operations for Door-To-Door Multimodal Transport",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147921287&doi=10.3390%2fsu15032380&partnerID=40&md5=e90545a412f2ec62c5dff37dcf354e29","The project X-TEAM D2D (extended ATM for door-to-door travel) has been funded by SESAR JU in the framework of the research activities devoted to the investigation of integration of Air Traffic Management (ATM) and aviation into a wider transport system able to support the implementation of the door-to-door (D2D) travel concept. The project defines a concept for the seamless integration of ATM and Air Transport into an intermodal network, including other available transportation means, such as surface and waterways, to contribute to the 4 h door-to-door connectivity targeted by the European Commission in the ACARE SRIA FlightPath 2050 goals. In particular, the project focused on the design of a concept of operations for urban and extended urban (up to regional) integrated mobility, taking into account the evolution of transportation and passengers service scenarios for the next decades, according to baseline (2025), intermediate (2035) and final target (2050) time horizons. The designed ConOps encompassed both the transportation platforms integration concepts and the innovative seamless Mobility as a Service, integrating emerging technologies, such as Urban Air Mobility (e.g., electric vertical take-off and landing vehicles) and new mobility forms (e.g., micromobility vehicles) into the intermodal traffic network, including Air Traffic Management (ATM) and Unmanned Traffic Management (UTM). The developed concept has been evaluated against existing KPAs and KPIs, implementing both qualitative and quantitative performance assessment approaches, while also considering specific performance metrics related to transport integration efficiency from the passenger point of view, being the proposed solution designed to be centered around the passenger needs. The aim of this paper is to provide a description of the activities carried out in the project and to present at high level the related outcomes. © 2023 by the authors.","air traffic management (ATM); concept of operations (ConOps); door-to-door (D2D) operations; intermodal transport; multimodality; passenger experience; simulation; surface transport; U-space; urban air mobility (UAM)"
"Yu H., Herschfelt A., Wu S., Srinivas S., Li Y., Sciammetta N., Smith L., Rueger K., Lee H., Chakrabarti C., Bliss D.W.","Communications and High-Precision Positioning (CHP2): Hardware Architecture, Implementation, and Validation",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147892471&doi=10.3390%2fs23031343&partnerID=40&md5=ebafe2adca753763c5d8503c5aecd7fa","Spectral congestion and modern consumer applications motivate radio technologies that efficiently cooperate with nearby users and provide several services simultaneously. We designed and implemented a joint positioning-communications system that simultaneously enables network communications, timing synchronization, and localization to a variety of airborne and ground-based platforms. This Communications and High-Precision Positioning (CHP2) system simultaneously performs communications and precise ranging (<10 cm) with a narrow band waveform (10 MHz) at a carrier frequency of 915 MHz (US ISM) or 783 MHz (EU Licensed). The ranging capability may be extended to estimate the relative position and orientation by leveraging the spatial diversity of the multiple-input, multiple-output (MIMO) platforms. CHP2 also digitally synchronizes distributed platforms with sub-nanosecond precision without support from external systems (GNSS, GPS, etc.). This performance is enabled by leveraging precise time-of-arrival (ToA) estimation techniques, a network synchronization algorithm, and the intrinsic cooperation in the joint processing chain that executes these tasks simultaneously. In this manuscript, we describe the CHP2 system architecture, hardware implementation, and in-lab and over-the-air experimental validation. © 2023 by the authors.","alternative positioning, navigation, and timing (APNT); autonomous vehicles; communications, navigation, and surveillance (CNS); distributed coherence; spectral convergence; two-way ranging; unmanned aerial vehicles (UAVs); urban air mobility (UAM)"
"Srinivas S., Welker S., Herschfelt A., Bliss D.W.","Cramér–Rao Lower Bounds on 3D Position and Orientation Estimation in Distributed Ranging Systems",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147884987&doi=10.3390%2fapp13032008&partnerID=40&md5=27dae76d99b2116b13f4dbe73faa0c04","As radio frequency (RF) hardware continues to improve, many technologies that were traditionally impractical have suddenly become viable alternatives to legacy systems. Two-way ranging (TWR) is often considered a poor positioning solution for airborne and other vehicular navigation systems due to its low precision, poor angular resolution, and precise timing requirements. With the advent of modern RF hardware and advanced processing techniques, however, modern studies have experimentally demonstrated TWR systems with an unprecedented, sub-centimeter ranging precision with low size, weight, power, and cost (SWaP-C) consumer-grade hardware. This technique enables a new class of positioning, navigation, and timing (PNT) capabilities for urban and commercial aircraft but also instigates new system design challenges such as antenna placement, installation of new electronics, and design of supporting infrastructure. To inform these aircraft design decisions, we derive 2D and 3D Cramér–Rao lower bounds (CRLBs) on position and orientation estimation in a multi-antenna TWR system. We specifically formulate these bounds as a function of the number of antennas, platform geometry, and geometric dilution of precision (GDoP) to inform aircraft design decisions under different mission requirements. We simulate the performance of several classic position and orientation estimators in this context to validate these bounds and to graphically depict the expected performance with respect to these design considerations. To improve the accessibility of these highly theoretical results, we also present a simplified discussion of how these bounds may be applied to common airborne applications and suggest best practices for using them to inform aircraft design decisions. © 2023 by the authors.","Crameŕ–Rao lower bound (CRLB); distributed coherence; geometric dilution of precision (GDoP); localization; reliability analysis; two-way ranging (TWR); uncertainty quantification; unmanned aerial vehicles (UAVs); urban air mobility (UAM)"
"Liang J., Chen Y., Lai N., He B.","Robust Observer-based Trajectory Tracking Control for Unmanned Aerial Manipulator",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146999810&doi=10.1007%2fs12555-021-0829-y&partnerID=40&md5=8d17aa1b1bbec413bcd68379b4ac4d6e","This paper aims at the stable motion control problem of the unmanned aerial manipulator (UAM) with internal interactions and external environment disturbances, and proposes a robust observer-based trajectory tracking control framework. Considering the large-dimensional nonlinearity and underactuated of UAM dynamics, a separate control scheme is adopted, including a geometric controller for quadrotor UAV and prescribed performance control (PPC) method for onboard active manipulator (OAM). In particular, an observer-based geometric control scheme is developed for the position and attitude tracking of the quadrotor UAV to ensure steady flight, where the quadrotor UAV attitude is represented by the rotation matrix to eliminate singularities or ambiguities. Subsequently, an observer-based PPC method is presented for the OAM to guarantee the prescribed transient and steady-state performance responses. Finally, the simulation comparisons and experimental study validate the effectiveness and performances of the proposed control framework. © 2023, ICROS, KIEE and Springer.","Onboard active manipulator (OAM); robust observer-based control framework; separate control strategy; unmanned aerial manipulator (UAM)"
"Huang C., Petrunin I., Tsourdos A.","Strategic Conflict Management using Recurrent Multi-agent Reinforcement Learning for Urban Air Mobility Operations Considering Uncertainties",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146828045&doi=10.1007%2fs10846-022-01784-0&partnerID=40&md5=4b96fb044631617677a01af261aea2bd","The rapidly evolving urban air mobility (UAM) develops the heavy demand for public air transport tasks and poses great challenges to safe and efficient operation in low-altitude urban airspace. In this paper, the operation conflict is managed in the strategic phase with multi-agent reinforcement learning (MARL) in dynamic environments. To enable efficient operation, the aircraft flight performance is integrated into the process of multi-resolution airspace design, trajectory generation, conflict management, and MARL learning. The demand and capacity balancing (DCB) issue, separation conflict, and block unavailability introduced by wind turbulence are resolved by the proposed the multi-agent asynchronous advantage actor-critic (MAA3C) framework, in which the recurrent actor-critic networks allow the automatic action selection between ground delay, speed adjustment, and flight cancellation. The learned parameters in MAA3C are replaced with random values to compare the performance of trained models. Simulated training and test experiments performed on a small urban prototype and various combined use cases suggest the superiority of the MAA3C solution in resolving conflicts with complicated wind fields. And the generalization, scalability, and stability of the model are also demonstrated while applying the model to complex environments. © 2023, The Author(s).","Multi-agent reinforcement learning; Strategic conflict management; Urban air mobility; Wind turbulence"
"Kalakou S., Marques C., Prazeres D., Agouridas V.","Citizens' attitudes towards technological innovations: The case of urban air mobility",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145252561&doi=10.1016%2fj.techfore.2022.122200&partnerID=40&md5=0c3c6696c7941ea68e4f055e118b931c","Technological innovations and their enabled services support business growth and promise benefits for societies. In the mobility sector, technology adoption and its sustainable integration into current transport systems strongly depend on citizens' perspectives both as users and non-users. Following a bottom-up approach originating from the societal views, this study analyses the attitude of citizens towards Urban Air Mobility (UAM) and brings insights into the citizens' expectations of the role that UAM can play in inhabited environments. The views of 485 residents of Lisbon in Portugal were collected to address aspects of UAM receptiveness. Six clusters of citizens were obtained expressing different attitudes towards UAM: open-minded, pollution sensitive, first movers, emergency supporters, skepticals and deniers. The designated clusters require different policies and practices from the side of policymakers and transport operators. The results indicate that positive attitudes towards UAM are characterized by higher intention to use such services suggesting that actions need to be taken to better comprehend each cluster's expectations. The study sheds light on societal aspects of technology deployment and provides insights to UAM stakeholders for the sustainable inclusion of UAM in societies catering for all citizen-related topics and contributing to the development and diffusion of the UAM ecosystem. © 2022 Elsevier Inc.","Citizens attitude; Receptiveness; Societal aspects of technologies; Technology foresight; UAM impact assessment; Urban Air Mobility (UAM)"
"Hernández-Martínez I., González-Resendiz L., Sánchez-García L., Vigueras-Ramírez G., Arroyo-Maya I.J., Morales-Ibarría M.","C-phycocyanin production with high antioxidant activity of a new thermotolerant freshwater Desertifilum tharense UAM-C/S02 strain",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143875960&doi=10.1016%2fj.biortech.2022.128431&partnerID=40&md5=f923fa22696f4cecf34f5a273235f2d1","A native cyanobacterial strain, Desertifilum tharense UAM-C/S02, was studied as a possible C-phycocyanin (C-PC) producer. Photosynthetic activity (PA) assays through oxygen production determined the proper temperature and range of irradiances to be tested in a stirred tank photobioreactor. The highest C-PC productivity (97 mg L−1 d−1), with a yield of 86.46 mgC-PC gB−1 was obtained at 730 µmol photons m−2 s−1 with a biomass productivity of 608 mg L−1 d−1 and the CO2 fixation rate was 1,194 mg L−1 d−1. The 1.81 crude extract purity value is the highest reported for this genus, which was improved to biomarker-grade purity after a two-step purification strategy comprising precipitation with ammonium sulfate, followed by dialysis. The purified C-PC was almost entirely radical-free using 1 mg mL−1, which validates its potential use in therapeutic formulations. © 2022 Elsevier Ltd","Antioxidant activity; C-phycocyanin; CO2 fixation; Desertifilum tharense; Photosynthetic activity"
"de Morais J.E., Cardoso D.N., Raffo G.V.","Robust Nonlinear Control of Aerial Manipulators",2023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140052632&doi=10.1007%2fs40313-022-00944-9&partnerID=40&md5=ab1ad372eba9d45db48c8cbc585f1452","This paper presents single-layer robust nonlinear controllers for the unmanned aerial manipulator (UAM) trajectory tracking problem. The multi-body dynamical modeling of an underactuated UAM is conducted from the perspective of its end-effector using the Euler–Lagrange formalism. Accordingly, two single-layer nonlinear controllers are designed based on the classic H∞ and the novel W∞ control approaches for robust trajectory tracking of the UAM end-effector. The nonlinear H∞ and W∞ controllers are implemented in a hardware-in-the-loop framework using a simulator developed on Gazebo and ROS platforms, based on the computer-aided design model of the UAM. The performance of the controllers is evaluated when executing tasks such as object grasping, extension and retraction of the manipulator arm, hovering, and tracking a time-varying trajectory, while the UAM is affected by disturbances as ground effect, environment wind, and parametric and structural uncertainties. © 2022, Brazilian Society for Automatics--SBA.","Aerial manipulator; Nonlinear control; Optimal control; Robust control"
